match_id,blue_team_full_name,red_team_full_name,win,start_time,gamelength,game,league,year
ESPORTSTMNT04_2677137,T1,JD Gaming,blue,2023-05-18 12:58:46+08,1463,2,MSI,2023
ESPORTSTMNT04_2679107,JD Gaming,T1,red,2023-05-18 13:43:55+08,1390,3,MSI,2023
ESPORTSTMNT04_2679108,JD Gaming,T1,blue,2023-05-18 14:27:50+08,1915,4,MSI,2023
ESPORTSTMNT04_2679110,T1,JD Gaming,red,2023-05-18 15:20:13+08,2105,5,MSI,2023
ESPORTSTMNT04_2677157,Bilibili Gaming,Gen.G,blue,2023-05-19 12:08:19+08,1651,1,MSI,2023
ESPORTSTMNT04_2676180,Gen.G,Bilibili Gaming,red,2023-05-19 12:57:45+08,2498,2,MSI,2023
ESPORTSTMNT04_2676181,Gen.G,Bilibili Gaming,red,2023-05-19 14:01:04+08,2130,3,MSI,2023
ESPORTSTMNT04_2679153,Bilibili Gaming,T1,blue,2023-05-20 11:08:12+08,2615,1,MSI,2023
ESPORTSTMNT04_2679169,T1,Bilibili Gaming,red,2023-05-20 12:13:10+08,1670,2,MSI,2023
ESPORTSTMNT04_2679171,T1,Bilibili Gaming,blue,2023-05-20 13:02:32+08,1933,3,MSI,2023
ESPORTSTMNT04_2677203,Bilibili Gaming,T1,blue,2023-05-20 13:55:29+08,2274,4,MSI,2023
ESPORTSTMNT04_2677225,JD Gaming,Bilibili Gaming,blue,2023-05-21 11:15:44+08,1555,1,MSI,2023
ESPORTSTMNT04_2677229,Bilibili Gaming,JD Gaming,blue,2023-05-21 12:04:07+08,1872,2,MSI,2023
ESPORTSTMNT04_2677230,JD Gaming,Bilibili Gaming,blue,2023-05-21 12:59:34+08,1432,3,MSI,2023
ESPORTSTMNT04_2677232,Bilibili Gaming,JD Gaming,red,2023-05-21 13:44:22+08,1352,4,MSI,2023
ESPORTSTMNT01_3417308,KT Rolster,Hanwha Life Esports,blue,2023-08-24 08:06:13+08,1858,1,WLDs,2023
ESPORTSTMNT01_3416429,Hanwha Life Esports,KT Rolster,red,2023-08-24 09:00:33+08,1548,2,WLDs,2023
ESPORTSTMNT01_3417324,Hanwha Life Esports,KT Rolster,blue,2023-08-24 09:48:30+08,1548,3,WLDs,2023
ESPORTSTMNT01_3417325,KT Rolster,Hanwha Life Esports,blue,2023-08-24 10:36:21+08,2012,4,WLDs,2023
ESPORTSTMNT01_3416476,Dplus KIA,DRX,blue,2023-08-25 08:05:55+08,1524,1,WLDs,2023
ESPORTSTMNT01_3417376,DRX,Dplus KIA,red,2023-08-25 08:53:39+08,1997,2,WLDs,2023
ESPORTSTMNT01_3418384,DRX,Dplus KIA,red,2023-08-25 09:50:47+08,1970,3,WLDs,2023
ESPORTSTMNT01_3416533,Hanwha Life Esports,Dplus KIA,blue,2023-08-26 06:06:39+08,1932,1,WLDs,2023
ESPORTSTMNT01_3416553,Dplus KIA,Hanwha Life Esports,blue,2023-08-26 07:02:07+08,1936,2,WLDs,2023
ESPORTSTMNT01_3417429,Hanwha Life Esports,Dplus KIA,red,2023-08-26 07:57:06+08,2427,3,WLDs,2023
ESPORTSTMNT01_3418429,Hanwha Life Esports,Dplus KIA,red,2023-08-26 09:00:23+08,1992,4,WLDs,2023
ESPORTSTMNT06_2827798,Golden Guardians,Team BDS,red,2023-10-09 04:09:51+08,1224,1,WLDs,2023
ESPORTSTMNT06_2828803,Golden Guardians,Team BDS,red,2023-10-09 04:51:13+08,2045,2,WLDs,2023
ESPORTSTMNT06_2827812,Team BDS,Golden Guardians,blue,2023-10-09 05:46:19+08,1796,3,WLDs,2023
ESPORTSTMNT06_2829811,TALON,Movistar R7,blue,2023-10-10 07:17:44+08,1718,1,WLDs,2023
ESPORTSTMNT06_2829821,TALON,Movistar R7,blue,2023-10-10 08:06:09+08,1821,2,WLDs,2023
ESPORTSTMNT06_2827855,LOUD,GAM Esports,blue,2023-10-10 09:10:30+08,1634,1,WLDs,2023
ESPORTSTMNT06_2828853,GAM Esports,LOUD,red,2023-10-10 09:59:06+08,2376,2,WLDs,2023
ESPORTSTMNT06_2828871,DetonatioN FocusMe,CTBC Flying Oyster,red,2023-10-11 07:13:58+08,2040,1,WLDs,2023
ESPORTSTMNT06_2828884,CTBC Flying Oyster,DetonatioN FocusMe,blue,2023-10-11 08:08:50+08,1658,2,WLDs,2023
